token	설명	예시	필수여부	마스킹규칙
PAGE_TITLE	<title> 전문. 「지역+물건+목적 감정평가 사례 — 가치앤같이 감정평가법인」 형식. 60자 내외	서울 강동구 성내동 근린생활시설 상속 감정평가 사례 — 가치앤같이 감정평가법인	필수	지번·호수 금지. 동 단위까지만
META_DESCRIPTION	meta description. 최종액·기준시점·평가방법·법인명을 반드시 포함. 140~160자	서울특별시 강동구 성내동 소재 근린생활시설(토지 177㎡, 건물 314.68㎡) 상속세 신고 목적 감정평가 사례. 기준시점 2025년 11월 7일, 최종 감정평가액 1,577,010,440원. 토지 거래사례비교법·건물 원가법 적용. ㈜감정평가법인 가치앤같이.	필수	지번·호수 금지
META_KEYWORDS	쉼표 구분 키워드 6~10개. 본문에 실제로 등장하는 말만 사용	강동구 성내동 감정평가, 성내동 근린생활시설 감정평가, 상속 감정평가, 상속세 신고, 거래사례비교법, 원가법, 가치앤같이	선택	—
OG_TITLE	OG 제목. PAGE_TITLE 축약형	서울 강동구 성내동 근린생활시설 상속 감정평가 사례 — 가치앤같이	필수	지번·호수 금지
OG_DESCRIPTION	OG 설명. 1~2문장, 100자 내외	강동구 성내동 근린생활시설 상속세 신고 목적 감정평가. 최종 평가액 1,577,010,440원. 토지 거래사례비교법 + 건물 원가법. 기준시점 2025.11.07.	필수	지번·호수 금지
SLUG	파일명(확장자 제외). 영문 소문자+하이픈. canonical·og:url·breadcrumb에 동시 사용	gangdong-seongnae-geunsaeng-v2-2025	필수	cases/ 기존 파일명과 중복 금지
PUBLISHED_DATE	최초 게시일 YYYY-MM-DD (KST)	2026-09-15	필수	—
MODIFIED_DATE	최종 수정일 YYYY-MM-DD (KST). 재게시 시 반드시 갱신	2026-09-15	필수	—
ARTICLE_SECTION	og article:section. 상속·증여 감정평가 / 세무서 제출 감정평가 등	상속 감정평가	필수	—
ARTICLE_TAG_1	article:tag 1 — 목적 축	상속 감정평가	필수	—
ARTICLE_TAG_2	article:tag 2 — 지역 축	강동구 성내동	필수	지번 금지
ARTICLE_TAG_3	article:tag 3 — 물건종류 축	근린생활시설 감정평가	필수	—
HEADLINE	JSON-LD Article.headline 및 itemprop headline. h1과 의미 일치	서울 강동구 성내동 근린생활시설 상속 감정평가 사례	필수	지번·호수 금지
